value,
23.46,4/1 0ʱ
23.18,4/1 1ʱ
22.8,4/1 2ʱ
22.46,4/1 3ʱ
22.11,4/1 4ʱ
21.73,4/1 5ʱ
21.48,4/1 6ʱ
21.24,4/1 7ʱ
21.05,4/1 8ʱ
20.9,4/1 9ʱ
21.08,4/1 10ʱ
21.37,4/1 11ʱ
21.55,4/1 12ʱ
21.78,4/1 13ʱ
21.96,4/1 14ʱ
22.2,4/1 15ʱ
22.32,4/1 16ʱ
22.44,4/1 17ʱ
22.3,4/1 18ʱ
22.31,4/1 19ʱ
22.37,4/1 20ʱ
22.3,4/1 21ʱ
22.1,4/1 22ʱ
21.93,4/1 23ʱ
21.77,4/2 0ʱ
21.58,4/2 1ʱ
21.37,4/2 2ʱ
21.28,4/2 3ʱ
21.12,4/2 4ʱ
20.8,4/2 5ʱ
20.47,4/2 6ʱ
20.28,4/2 7ʱ
20.2,4/2 8ʱ
20.23,4/2 9ʱ
20.77,4/2 10ʱ
21.47,4/2 11ʱ
22.1,4/2 12ʱ
22.55,4/2 13ʱ
23.01,4/2 14ʱ
23.43,4/2 15ʱ
23.83,4/2 16ʱ
24.09,4/2 17ʱ
24.07,4/2 18ʱ
23.91,4/2 19ʱ
23.71,4/2 20ʱ
23.65,4/2 21ʱ
23.66,4/2 22ʱ
23.48,4/2 23ʱ
23.24,4/3 0ʱ
23.06,4/3 1ʱ
22.93,4/3 2ʱ
22.54,4/3 3ʱ
22.23,4/3 4ʱ
21.88,4/3 5ʱ
21.53,4/3 6ʱ
21.21,4/3 7ʱ
21.01,4/3 8ʱ
21.33,4/3 9ʱ
21.93,4/3 10ʱ
22.85,4/3 11ʱ
23.61,4/3 12ʱ
24.33,4/3 13ʱ
24.74,4/3 14ʱ
24.98,4/3 15ʱ
25.39,4/3 16ʱ
25.64,4/3 17ʱ
25.74,4/3 18ʱ
25.68,4/3 19ʱ
25.53,4/3 20ʱ
25.31,4/3 21ʱ
25.08,4/3 22ʱ
24.79,4/3 23ʱ
24.47,4/4 0ʱ
24.24,4/4 1ʱ
23.9,4/4 2ʱ
23.46,4/4 3ʱ
22.98,4/4 4ʱ
22.52,4/4 5ʱ
22.08,4/4 6ʱ
21.68,4/4 7ʱ
21.64,4/4 8ʱ
21.94,4/4 9ʱ
22.64,4/4 10ʱ
23.49,4/4 11ʱ
24.39,4/4 12ʱ
25.2,4/4 13ʱ
25.76,4/4 14ʱ
26.37,4/4 15ʱ
26.77,4/4 16ʱ
27.09,4/4 17ʱ
27.19,4/4 18ʱ
27.36,4/4 19ʱ
27.23,4/4 20ʱ
27.03,4/4 21ʱ
26.82,4/4 22ʱ
26.52,4/4 23ʱ
26.37,4/5 0ʱ
26.12,4/5 1ʱ
25.8,4/5 2ʱ
25.55,4/5 3ʱ
25.23,4/5 3ʱ
25.12,4/5 4ʱ
24.95,4/5 5ʱ
24.52,4/5 6ʱ
24.63,4/5 7ʱ
24.71,4/5 8ʱ
24.69,4/5 9ʱ
25.07,4/5 10ʱ
26.06,4/5 11ʱ
26.96,4/5 12ʱ
27.6,4/5 13ʱ
28.11,4/5 14ʱ
28.4,4/5 15ʱ
28.71,4/5 16ʱ
29.01,4/5 17ʱ
28.78,4/5 18ʱ
28.65,4/5 19ʱ
28.57,4/5 20ʱ
28.54,4/5 21ʱ
28.53,4/5 22ʱ
28.16,4/5 23ʱ
28.12,4/6 0ʱ
27.8,4/6 1ʱ
27.28,4/6 2ʱ
27.01,4/6 3ʱ
26.83,4/6 4ʱ
26.58,4/6 5ʱ
26.43,4/6 6ʱ
26.37,4/6 7ʱ
27.04,4/6 8ʱ
27.86,4/6 9ʱ
28.8,4/6 10ʱ
29.62,4/6 11ʱ
30.32,4/6 12ʱ
30.87,4/6 13ʱ
31.3,4/6 14ʱ
31.61,4/6 15ʱ
31.77,4/6 16ʱ
31.91,4/6 17ʱ
32.01,4/6 18ʱ
32.03,4/6 19ʱ
32.14,4/6 20ʱ
31.74,4/6 21ʱ
31.48,4/6 22ʱ
31.16,4/6 23ʱ
30.96,4/7 0ʱ
30.57,4/7 1ʱ
30.13,4/7 2ʱ
29.87,4/7 3ʱ
29.45,4/7 4ʱ
28.99,4/7 5ʱ
28.62,4/7 6ʱ
28.72,4/7 7ʱ
29.11,4/7 8ʱ
30.05,4/7 9ʱ
30.96,4/7 10ʱ
31.76,4/7 11ʱ
32.44,4/7 12ʱ
33,4/7 13ʱ
33.41,4/7 14ʱ
33.87,4/7 15ʱ
34.16,4/7 16ʱ
34.1,4/7 17ʱ
33.89,4/7 18ʱ
33.64,4/7 19ʱ
33.3,4/7 20ʱ
32.94,4/7 21ʱ
32.41,4/7 22ʱ
32.01,4/7 23ʱ
31.48,4/8 0ʱ
31.05,4/8 1ʱ
30.35,4/8 2ʱ
29.77,4/8 3ʱ
29.33,4/8 4ʱ
28.41,4/8 5ʱ
27.93,4/8 6ʱ
27.91,4/8 7ʱ
28.63,4/8 8ʱ
29.68,4/8 9ʱ
30.96,4/8 10ʱ
32.1,4/8 11ʱ
33.07,4/8 12ʱ
33.83,4/8 13ʱ
34.39,4/8 14ʱ
34.8,4/8 15ʱ
35.19,4/8 16ʱ
35.48,4/8 17ʱ
35.41,4/8 18ʱ
35.32,4/8 19ʱ
35.12,4/8 20ʱ
35.01,4/8 21ʱ
34.35,4/8 22ʱ
33.64,4/8 23ʱ
33.17,4/9 0ʱ
32.75,4/9 1ʱ
32.37,4/9 2ʱ
31.68,4/9 3ʱ
30.96,4/9 4ʱ
30.62,4/9 5ʱ
30.41,4/9 6ʱ
30.26,4/9 7ʱ
30.86,4/9 8ʱ
31.94,4/9 9ʱ
33.17,4/9 10ʱ
34.21,4/9 11ʱ
34.96,4/9 12ʱ
35.47,4/9 13ʱ
35.85,4/9 14ʱ
36.16,4/9 15ʱ
36.53,4/9 16ʱ
36.6,4/9 17ʱ
36.39,4/9 18ʱ
36.3,4/9 19ʱ
36.07,4/9 20ʱ
35.76,4/9 21ʱ
35.01,4/9 22ʱ
34.24,4/9 23ʱ
33.8,4/10 0ʱ
33.36,4/10 1ʱ
32.98,4/10 2ʱ
32.6,4/10 3ʱ
32.3,4/10 4ʱ
32.01,4/10 5ʱ
31.81,4/10 6ʱ
31.6,4/10 7ʱ
31.86,4/10 8ʱ
32.62,4/10 9ʱ
33.34,4/10 10ʱ
34.09,4/10 11ʱ
34.82,4/10 12ʱ
35.37,4/10 13ʱ
35.82,4/10 14ʱ
36.3,4/10 15ʱ
36.85,4/10 16ʱ
37.03,4/10 17ʱ
37.01,4/10 18ʱ
36.82,4/10 19ʱ
36.66,4/10 20ʱ
36.51,4/10 21ʱ
36.19,4/10 22ʱ
35.57,4/10 23ʱ
35.16,4/11 0ʱ
34.61,4/11 1ʱ
34.05,4/11 2ʱ
33.62,4/11 3ʱ
33.23,4/11 4ʱ
32.91,4/11 5ʱ
32.64,4/11 6ʱ
32.62,4/11 7ʱ
33.1,4/11 8ʱ
34.1,4/11 9ʱ
35.35,4/11 10ʱ
36.21,4/11 11ʱ
37.14,4/11 12ʱ
37.73,4/11 13ʱ
38.07,4/11 14ʱ
38.44,4/11 15ʱ
38.8,4/11 16ʱ
38.82,4/11 17ʱ
38.73,4/11 18ʱ
38.28,4/11 19ʱ
38.12,4/11 20ʱ
37.96,4/11 21ʱ
37.59,4/11 22ʱ
37.01,4/11 23ʱ
36.6,4/12 0ʱ
36.13,4/12 1ʱ
35.53,4/12 2ʱ
35.23,4/12 3ʱ
34.94,4/12 4ʱ
35.03,4/12 5ʱ
34.96,4/12 6ʱ
34.67,4/12 7ʱ
34.74,4/12 8ʱ
35.6,4/12 9ʱ
36.67,4/12 10ʱ
37.51,4/12 11ʱ
38.23,4/12 12ʱ
38.58,4/12 13ʱ
38.8,4/12 14ʱ
38.96,4/12 15ʱ
39.03,4/12 16ʱ
38.89,4/12 17ʱ
38.53,4/12 18ʱ
38.24,4/12 19ʱ
37.41,4/12 20ʱ
36.14,4/12 21ʱ
34.78,4/12 22ʱ
33.73,4/12 23ʱ
32.71,4/13 0ʱ
31.84,4/13 1ʱ
30.86,4/13 2ʱ
30.01,4/13 3ʱ
29.11,4/13 4ʱ
28.51,4/13 5ʱ
27.36,4/13 6ʱ
26.88,4/13 7ʱ
26.37,4/13 8ʱ
26.05,4/13 9ʱ
26.05,4/13 10ʱ
25.98,4/13 11ʱ
25.87,4/13 12ʱ
25.74,4/13 13ʱ
25.58,4/13 14ʱ
25.43,4/13 15ʱ
25.36,4/13 16ʱ
25.24,4/13 17ʱ
25.05,4/13 18ʱ
24.99,4/13 19ʱ
24.9,4/13 20ʱ
24.73,4/13 21ʱ
24.81,4/13 22ʱ
24.73,4/13 23ʱ
24.78,4/14 0ʱ
24.81,4/14 1ʱ
24.85,4/14 2ʱ
24.87,4/14 3ʱ
24.96,4/14 4ʱ
25.05,4/14 5ʱ
25.19,4/14 6ʱ
25.35,4/14 7ʱ
25.57,4/14 8ʱ
25.61,4/14 9ʱ
25.98,4/14 10ʱ
26.62,4/14 11ʱ
27.01,4/14 12ʱ
27.38,4/14 13ʱ
27.47,4/14 14ʱ
27.88,4/14 15ʱ
28.05,4/14 16ʱ
27.98,4/14 17ʱ
27.86,4/14 18ʱ
27.94,4/14 19ʱ
28.01,4/14 20ʱ
27.86,4/14 21ʱ
27.71,4/14 22ʱ
27.43,4/14 23ʱ
27.27,4/15 0ʱ
27.21,4/15 1ʱ
27.31,4/15 2ʱ
27.28,4/15 3ʱ
27.16,4/15 4ʱ
27.01,4/15 5ʱ
26.8,4/15 6ʱ
26.82,4/15 7ʱ
26.79,4/15 8ʱ
26.7,4/15 9ʱ
26.71,4/15 10ʱ
26.87,4/15 11ʱ
27.06,4/15 12ʱ
27.3,4/15 13ʱ
27.56,4/15 14ʱ
27.68,4/15 15ʱ
27.7,4/15 16ʱ
27.44,4/15 17ʱ
27.37,4/15 18ʱ
27.28,4/15 19ʱ
27.19,4/15 20ʱ
27.12,4/15 21ʱ
27.07,4/15 22ʱ
27.04,4/15 23ʱ
27.19,4/16 0ʱ
27.12,4/16 1ʱ
27.03,4/16 2ʱ
26.62,4/16 3ʱ
26.68,4/16 4ʱ
26.46,4/16 5ʱ
26.2,4/16 6ʱ
26.35,4/16 7ʱ
26.41,4/16 8ʱ
26.73,4/16 9ʱ
27.22,4/16 10ʱ
27.33,4/16 11ʱ
27.57,4/16 12ʱ
27.64,4/16 13ʱ
27.72,4/16 14ʱ
27.81,4/16 15ʱ
27.77,4/16 16ʱ
27.83,4/16 17ʱ
27.64,4/16 18ʱ
27.64,4/16 19ʱ
27.46,4/16 20ʱ
27.32,4/16 21ʱ
27.23,4/16 22ʱ
27.12,4/16 23ʱ
26.97,4/17 0ʱ
26.84,4/17 1ʱ
26.57,4/17 2ʱ
26.32,4/17 3ʱ
25.98,4/17 4ʱ
25.85,4/17 5ʱ
25.77,4/17 6ʱ
25.79,4/17 7ʱ
26.18,4/17 8ʱ
27.01,4/17 9ʱ
27.82,4/17 10ʱ
28.54,4/17 11ʱ
28.99,4/17 12ʱ
29.26,4/17 13ʱ
29.49,4/17 14ʱ
29.62,4/17 15ʱ
29.77,4/17 16ʱ
29.63,4/17 17ʱ
29.53,4/17 18ʱ
29.33,4/17 19ʱ
29.24,4/17 20ʱ
29.06,4/17 21ʱ
28.76,4/17 22ʱ
28.37,4/17 23ʱ
28.29,4/18 0ʱ
28.15,4/18 1ʱ
28.15,4/18 2ʱ
28.12,4/18 3ʱ
27.96,4/18 4ʱ
27.71,4/18 5ʱ
27.81,4/18 6ʱ
27.66,4/18 7ʱ
28.06,4/18 8ʱ
28.56,4/18 9ʱ
29.28,4/18 10ʱ
29.88,4/18 11ʱ
30.43,4/18 12ʱ
30.85,4/18 13ʱ
31.2,4/18 14ʱ
31.43,4/18 15ʱ
31.71,4/18 16ʱ
31.69,4/18 17ʱ
31.3,4/18 18ʱ
31.15,4/18 19ʱ
31.12,4/18 20ʱ
30.78,4/18 21ʱ
30.33,4/18 22ʱ
29.87,4/18 23ʱ
29.54,4/19 0ʱ
29.19,4/19 1ʱ
28.86,4/19 2ʱ
28.64,4/19 3ʱ
28.26,4/19 4ʱ
28.01,4/19 5ʱ
27.9,4/19 6ʱ
28.16,4/19 7ʱ
28.85,4/19 8ʱ
29.66,4/19 9ʱ
30.41,4/19 10ʱ
31.13,4/19 11ʱ
31.68,4/19 12ʱ
32.22,4/19 13ʱ
32.62,4/19 14ʱ
32.94,4/19 15ʱ
33.16,4/19 16ʱ
33.26,4/19 17ʱ
33.28,4/19 18ʱ
33.22,4/19 19ʱ
33.1,4/19 20ʱ
32.76,4/19 21ʱ
32.26,4/19 22ʱ
31.81,4/19 23ʱ
31.37,4/20 0ʱ
31.01,4/20 1ʱ
30.37,4/20 2ʱ
29.97,4/20 3ʱ
29.48,4/20 4ʱ
29.18,4/20 5ʱ
29.05,4/20 6ʱ
29.32,4/20 7ʱ
30.24,4/20 8ʱ
31.3,4/20 9ʱ
32.3,4/20 10ʱ
33.16,4/20 11ʱ
33.85,4/20 12ʱ
34.26,4/20 13ʱ
34.69,4/20 14ʱ
34.96,4/20 15ʱ
35.23,4/20 16ʱ
35.14,4/20 17ʱ
34.98,4/20 18ʱ
34.83,4/20 19ʱ
34.51,4/20 20ʱ
34.16,4/20 21ʱ
33.67,4/20 22ʱ
33.23,4/20 23ʱ
32.76,4/21 0ʱ
32.24,4/21 1ʱ
31.82,4/21 2ʱ
31.48,4/21 3ʱ
31.13,4/21 4ʱ
30.74,4/21 5ʱ
30.47,4/21 6ʱ
30.84,4/21 7ʱ
31.73,4/21 8ʱ
32.57,4/21 9ʱ
33.55,4/21 10ʱ
34.23,4/21 11ʱ
35.12,4/21 12ʱ
35.69,4/21 13ʱ
36.24,4/21 14ʱ
36.87,4/21 15ʱ
37.39,4/21 16ʱ
37.74,4/21 17ʱ
37.73,4/21 18ʱ
37.48,4/21 19ʱ
37.14,4/21 20ʱ
36.66,4/21 21ʱ
36.1,4/21 22ʱ
35.51,4/21 23ʱ
34.96,4/22 0ʱ
34.48,4/22 1ʱ
34.1,4/22 2ʱ
33.87,4/22 3ʱ
33.51,4/22 4ʱ
33.19,4/22 5ʱ
32.92,4/22 6ʱ
33,4/22 7ʱ
33.57,4/22 8ʱ
34.71,4/22 9ʱ
35.64,4/22 10ʱ
36.39,4/22 11ʱ
36.99,4/22 12ʱ
37.14,4/22 13ʱ
37.07,4/22 14ʱ
36.98,4/22 15ʱ
36.28,4/22 16ʱ
35.48,4/22 17ʱ
34.55,4/22 18ʱ
33.89,4/22 19ʱ
33.37,4/22 20ʱ
32.89,4/22 21ʱ
32.3,4/22 22ʱ
31.79,4/22 23ʱ
31.19,4/23 0ʱ
30.85,4/23 1ʱ
30.63,4/23 2ʱ
30.61,4/23 3ʱ
30.47,4/23 4ʱ
30.37,4/23 5ʱ
30.43,4/23 6ʱ
30.57,4/23 7ʱ
30.85,4/23 8ʱ
31.2,4/23 9ʱ
31.71,4/23 10ʱ
32.28,4/23 11ʱ
32.96,4/23 12ʱ
33.39,4/23 13ʱ
33.85,4/23 14ʱ
34.14,4/23 15ʱ
34.35,4/23 16ʱ
34.49,4/23 17ʱ
34.42,4/23 18ʱ
34.35,4/23 19ʱ
34.12,4/23 20ʱ
33.94,4/23 21ʱ
33.71,4/23 22ʱ
33.44,4/23 23ʱ
33.1,4/24 0ʱ
32.66,4/24 1ʱ
32.28,4/24 2ʱ
32.01,4/24 3ʱ
31.68,4/24 4ʱ
31.43,4/24 5ʱ
31.24,4/24 6ʱ
31.7,4/24 7ʱ
32.57,4/24 8ʱ
33.48,4/24 9ʱ
34.44,4/24 10ʱ
35.42,4/24 11ʱ
36.26,4/24 12ʱ
36.89,4/24 13ʱ
37.32,4/24 14ʱ
37.74,4/24 15ʱ
38.05,4/24 16ʱ
38.12,4/24 17ʱ
38.01,4/24 18ʱ
37.69,4/24 19ʱ
37.35,4/24 20ʱ
36.94,4/24 21ʱ
36.46,4/24 22ʱ
36.01,4/24 23ʱ
35.48,4/25 0ʱ
35.11,4/25 1ʱ
34.69,4/25 2ʱ
34.21,4/25 3ʱ
33.91,4/25 4ʱ
33.44,4/25 5ʱ
33.1,4/25 6ʱ
33.05,4/25 7ʱ
33.32,4/25 8ʱ
33.85,4/25 9ʱ
34.32,4/25 10ʱ
33.64,4/25 11ʱ
33.53,4/25 12ʱ
33.83,4/25 13ʱ
34.34,4/25 14ʱ
34.69,4/25 15ʱ
34.8,4/25 16ʱ
35.1,4/25 17ʱ
35.12,4/25 18ʱ
35.26,4/25 19ʱ
35.37,4/25 20ʱ
35.46,4/25 21ʱ
35.67,4/25 22ʱ
35.59,4/25 23ʱ
35.41,4/26 0ʱ
35.19,4/26 1ʱ
35.01,4/26 2ʱ
34.62,4/26 3ʱ
34.39,4/26 4ʱ
34.1,4/26 5ʱ
33.73,4/26 6ʱ
33.44,4/26 7ʱ
33.16,4/26 8ʱ
33.01,4/26 9ʱ
33.32,4/26 10ʱ
33.82,4/26 11ʱ
34.23,4/26 12ʱ
34.6,4/26 13ʱ
34.89,4/26 14ʱ
35.19,4/26 15ʱ
35.17,4/26 16ʱ
35.07,4/26 17ʱ
34.89,4/26 18ʱ
34.57,4/26 19ʱ
34.32,4/26 20ʱ
34.01,4/26 21ʱ
33.69,4/26 22ʱ
33.35,4/26 23ʱ
33.1,4/27 0ʱ
32.83,4/27 1ʱ
32.53,4/27 2ʱ
32.16,4/27 3ʱ
31.96,4/27 4ʱ
31.76,4/27 5ʱ
31.74,4/27 6ʱ
32.07,4/27 7ʱ
32.55,4/27 8ʱ
33.1,4/27 9ʱ
33.48,4/27 10ʱ
33.66,4/27 11ʱ
33.74,4/27 12ʱ
33.91,4/27 13ʱ
34.01,4/27 14ʱ
34.03,4/27 15ʱ
33.89,4/27 16ʱ
33.57,4/27 17ʱ
33.32,4/27 18ʱ
33.1,4/27 19ʱ
32.87,4/27 20ʱ
