value,
32.66,4/27 21ʱ
32.55,4/27 22ʱ
32.35,4/27 23ʱ
32.23,4/28 0ʱ
31.88,4/28 1ʱ
31.66,4/28 2ʱ
31.46,4/28 3ʱ
31.19,4/28 4ʱ
30.77,4/28 5ʱ
30.4,4/28 6ʱ
30.21,4/28 7ʱ
30.26,4/28 8ʱ
30.4,4/28 9ʱ
30.71,4/28 10ʱ
31.21,4/28 11ʱ
31.39,4/28 12ʱ
31.22,4/28 13ʱ
30.83,4/28 14ʱ
30.41,4/28 15ʱ
29.93,4/28 16ʱ
29.21,4/28 17ʱ
28.58,4/28 18ʱ
28.06,4/28 19ʱ
27.8,4/28 20ʱ
27.4,4/28 21ʱ
26.74,4/28 22ʱ
26.13,4/28 23ʱ
25.47,4/29 0ʱ
24.92,4/29 1ʱ
24.41,4/29 2ʱ
23.98,4/29 3ʱ
23.53,4/29 4ʱ
23.31,4/29 5ʱ
23.38,4/29 6ʱ
23.47,4/29 7ʱ
23.6,4/29 8ʱ
23.82,4/29 9ʱ
24.18,4/29 10ʱ
24.53,4/29 11ʱ
24.85,4/29 12ʱ
25.19,4/29 13ʱ
25.38,4/29 14ʱ
25.63,4/29 15ʱ
25.71,4/29 16ʱ
25.83,4/29 17ʱ
26.01,4/29 18ʱ
25.87,4/29 19ʱ
26.05,4/29 20ʱ
26.04,4/29 21ʱ
26.15,4/29 22ʱ
26.05,4/29 23ʱ
25.99,4/30 0ʱ
25.88,4/30 1ʱ
25.77,4/30 2ʱ
25.68,4/30 3ʱ
25.7,4/30 4ʱ
25.56,4/30 5ʱ
25.66,4/30 6ʱ
25.72,4/30 7ʱ
26.06,4/30 8ʱ
26.43,4/30 9ʱ
26.39,4/30 10ʱ
26.46,4/30 11ʱ
26.62,4/30 12ʱ
26.59,4/30 13ʱ
26.58,4/30 14ʱ
26.48,4/30 15ʱ
26.44,4/30 16ʱ
26.37,4/30 17ʱ
26.4,4/30 18ʱ
26.48,4/30 19ʱ
26.46,4/30 20ʱ
26.72,4/30 21ʱ
26.71,4/30 22ʱ
26.76,4/30 23ʱ
26.61,5/1 0ʱ
26.43,5/1 1ʱ
26.37,5/1 2ʱ
26.27,5/1 3ʱ
25.99,5/1 4ʱ
25.8,5/1 5ʱ
25.83,5/1 6ʱ
25.66,5/1 7ʱ
25.55,5/1 8ʱ
25.71,5/1 9ʱ
25.94,5/1 10ʱ
26.2,5/1 11ʱ
26.7,5/1 12ʱ
26.87,5/1 13ʱ
27.22,5/1 14ʱ
27.54,5/1 15ʱ
27.68,5/1 16ʱ
27.79,5/1 17ʱ
27.73,5/1 18ʱ
27.7,5/1 19ʱ
27.71,5/1 20ʱ
27.47,5/1 21ʱ
27.33,5/1 22ʱ
27.06,5/1 23ʱ
26.79,5/2 0ʱ
26.31,5/2 1ʱ
25.96,5/2 2ʱ
25.62,5/2 3ʱ
25.37,5/2 4ʱ
25.12,5/2 5ʱ
25.19,5/2 6ʱ
25.55,5/2 7ʱ
26.32,5/2 8ʱ
27.48,5/2 9ʱ
28.3,5/2 10ʱ
29.1,5/2 11ʱ
29.72,5/2 12ʱ
30.12,5/2 13ʱ
30.55,5/2 14ʱ
30.9,5/2 15ʱ
31.37,5/2 16ʱ
31.57,5/2 17ʱ
31.73,5/2 18ʱ
31.76,5/2 19ʱ
31.7,5/2 20ʱ
31.46,5/2 21ʱ
31.22,5/2 22ʱ
30.91,5/2 23ʱ
30.52,5/3 0ʱ
30.3,5/3 1ʱ
30.05,5/3 2ʱ
29.62,5/3 3ʱ
29.26,5/3 4ʱ
28.97,5/3 5ʱ
28.87,5/3 6ʱ
29.26,5/3 7ʱ
30.23,5/3 8ʱ
31.46,5/3 9ʱ
32.46,5/3 10ʱ
33.53,5/3 11ʱ
34.41,5/3 12ʱ
34.89,5/3 13ʱ
35.39,5/3 14ʱ
35.69,5/3 15ʱ
35.89,5/3 16ʱ
35.74,5/3 17ʱ
35.57,5/3 18ʱ
35.39,5/3 19ʱ
35.05,5/3 20ʱ
34.46,5/3 21ʱ
33.44,5/3 22ʱ
32.21,5/3 23ʱ
31.37,5/4 0ʱ
30.76,5/4 1ʱ
30.13,5/4 2ʱ
29.8,5/4 3ʱ
29.39,5/4 4ʱ
29.27,5/4 5ʱ
29.24,5/4 6ʱ
29.79,5/4 7ʱ
30.83,5/4 8ʱ
32.26,5/4 9ʱ
33.35,5/4 10ʱ
34.48,5/4 11ʱ
35.34,5/4 12ʱ
35.84,5/4 13ʱ
36.19,5/4 14ʱ
36.6,5/4 15ʱ
36.91,5/4 16ʱ
36.76,5/4 17ʱ
36.64,5/4 18ʱ
36.21,5/4 19ʱ
35.46,5/4 20ʱ
34.49,5/4 21ʱ
33.41,5/4 22ʱ
32.62,5/4 23ʱ
32.26,5/5 0ʱ
31.79,5/5 1ʱ
31.41,5/5 2ʱ
31.18,5/5 3ʱ
30.76,5/5 4ʱ
30.58,5/5 5ʱ
30.48,5/5 6ʱ
30.8,5/5 7ʱ
31.9,5/5 8ʱ
33.16,5/5 9ʱ
34.37,5/5 10ʱ
35.46,5/5 11ʱ
36.26,5/5 12ʱ
36.75,5/5 13ʱ
37.23,5/5 14ʱ
37.53,5/5 15ʱ
37.69,5/5 16ʱ
37.64,5/5 17ʱ
37.41,5/5 18ʱ
36.91,5/5 19ʱ
36.17,5/5 20ʱ
35.35,5/5 21ʱ
34.21,5/5 22ʱ
33.46,5/5 23ʱ
33.1,5/6 0ʱ
32.74,5/6 1ʱ
32.69,5/6 2ʱ
32.49,5/6 3ʱ
32.23,5/6 4ʱ
31.96,5/6 5ʱ
32.16,5/6 6ʱ
32.66,5/6 7ʱ
33.6,5/6 8ʱ
34.82,5/6 9ʱ
35.69,5/6 10ʱ
36.41,5/6 11ʱ
37.07,5/6 12ʱ
37.48,5/6 13ʱ
37.8,5/6 14ʱ
38.03,5/6 15ʱ
38.09,5/6 16ʱ
37.89,5/6 17ʱ
37.89,5/6 18ʱ
37.84,5/6 19ʱ
37.6,5/6 20ʱ
37.19,5/6 21ʱ
36.82,5/6 22ʱ
36.03,5/6 23ʱ
35.28,5/7 0ʱ
34.73,5/7 1ʱ
34.12,5/7 2ʱ
33.32,5/7 3ʱ
32.6,5/7 4ʱ
32.03,5/7 5ʱ
31.71,5/7 6ʱ
32.01,5/7 7ʱ
32.74,5/7 8ʱ
33.62,5/7 9ʱ
34.48,5/7 10ʱ
35.14,5/7 11ʱ
35.76,5/7 12ʱ
36.17,5/7 13ʱ
36.21,5/7 14ʱ
36.1,5/7 15ʱ
35.99,5/7 16ʱ
35.74,5/7 17ʱ
35.39,5/7 18ʱ
35.1,5/7 19ʱ
34.8,5/7 20ʱ
34.57,5/7 21ʱ
34.26,5/7 22ʱ
33.96,5/7 23ʱ
33.66,5/8 0ʱ
33.26,5/8 1ʱ
32.78,5/8 2ʱ
32.37,5/8 3ʱ
31.96,5/8 4ʱ
31.64,5/8 5ʱ
31.66,5/8 6ʱ
32.07,5/8 7ʱ
32.53,5/8 8ʱ
33.14,5/8 9ʱ
33.49,5/8 10ʱ
34.07,5/8 11ʱ
34.64,5/8 12ʱ
34.78,5/8 13ʱ
34.89,5/8 14ʱ
34.92,5/8 15ʱ
34.78,5/8 16ʱ
34.53,5/8 17ʱ
34.07,5/8 18ʱ
33.47,5/8 19ʱ
32.94,5/8 20ʱ
32.37,5/8 21ʱ
31.87,5/8 22ʱ
31.55,5/8 23ʱ
31.3,5/9 0ʱ
31.11,5/9 1ʱ
30.95,5/9 2ʱ
30.58,5/9 3ʱ
30.3,5/9 4ʱ
30.05,5/9 5ʱ
29.81,5/9 6ʱ
29.62,5/9 7ʱ
29.53,5/9 8ʱ
29.23,5/9 9ʱ
29.18,5/9 10ʱ
28.78,5/9 11ʱ
28.27,5/9 12ʱ
27.86,5/9 13ʱ
27.8,5/9 14ʱ
27.93,5/9 15ʱ
27.99,5/9 16ʱ
27.55,5/9 17ʱ
27.32,5/9 18ʱ
27.32,5/9 19ʱ
27.15,5/9 20ʱ
27.12,5/9 21ʱ
27.11,5/9 22ʱ
27.1,5/9 23ʱ
27.3,5/10 0ʱ
27.41,5/10 1ʱ
27.8,5/10 2ʱ
28.1,5/10 3ʱ
28.21,5/10 4ʱ
28.35,5/10 5ʱ
28.7,5/10 6ʱ
28.77,5/10 7ʱ
29.05,5/10 8ʱ
29.21,5/10 9ʱ
29.48,5/10 10ʱ
29.64,5/10 11ʱ
29.52,5/10 12ʱ
29.62,5/10 13ʱ
29.55,5/10 14ʱ
29.47,5/10 15ʱ
28.96,5/10 16ʱ
28.82,5/10 17ʱ
28.72,5/10 18ʱ
28.62,5/10 19ʱ
28.46,5/10 20ʱ
28.3,5/10 21ʱ
28.16,5/10 22ʱ
28.05,5/10 23ʱ
28.18,5/11 0ʱ
28.3,5/11 1ʱ
28.44,5/11 2ʱ
28.57,5/11 3ʱ
28.8,5/11 4ʱ
28.91,5/11 5ʱ
29.19,5/11 6ʱ
29.42,5/11 7ʱ
29.62,5/11 8ʱ
29.94,5/11 9ʱ
30.01,5/11 10ʱ
30.01,5/11 11ʱ
30.2,5/11 12ʱ
30.19,5/11 13ʱ
30.18,5/11 14ʱ
30.13,5/11 15ʱ
30.05,5/11 16ʱ
30.01,5/11 17ʱ
29.99,5/11 18ʱ
29.85,5/11 19ʱ
29.71,5/11 20ʱ
29.58,5/11 21ʱ
29.56,5/11 22ʱ
29.43,5/11 23ʱ
29.24,5/12 0ʱ
29.26,5/12 1ʱ
29.15,5/12 2ʱ
29.07,5/12 3ʱ
28.93,5/12 4ʱ
28.73,5/12 5ʱ
28.8,5/12 6ʱ
28.94,5/12 7ʱ
29.31,5/12 8ʱ
29.74,5/12 9ʱ
30.18,5/12 10ʱ
30.71,5/12 11ʱ
30.74,5/12 12ʱ
30.8,5/12 13ʱ
30.88,5/12 14ʱ
30.96,5/12 15ʱ
30.85,5/12 16ʱ
30.62,5/12 17ʱ
30.46,5/12 18ʱ
30.31,5/12 19ʱ
29.89,5/12 20ʱ
29.73,5/12 21ʱ
29.49,5/12 22ʱ
29.32,5/12 23ʱ
29.12,5/13 0ʱ
28.93,5/13 1ʱ
28.65,5/13 2ʱ
28.27,5/13 3ʱ
27.9,5/13 4ʱ
27.51,5/13 5ʱ
27.35,5/13 6ʱ
27.45,5/13 7ʱ
27.54,5/13 8ʱ
27.65,5/13 9ʱ
27.61,5/13 10ʱ
27.61,5/13 11ʱ
27.71,5/13 12ʱ
27.93,5/13 13ʱ
28.21,5/13 14ʱ
28.43,5/13 15ʱ
28.65,5/13 16ʱ
28.72,5/13 17ʱ
28.55,5/13 18ʱ
28.63,5/13 19ʱ
28.6,5/13 20ʱ
28.55,5/13 21ʱ
28.49,5/13 22ʱ
28.24,5/13 23ʱ
28.11,5/14 0ʱ
28.16,5/14 1ʱ
28.35,5/14 2ʱ
28.39,5/14 3ʱ
28.23,5/14 4ʱ
28.13,5/14 5ʱ
28.49,5/14 6ʱ
29.05,5/14 7ʱ
30.01,5/14 8ʱ
30.7,5/14 9ʱ
31.14,5/14 10ʱ
31.44,5/14 11ʱ
31.61,5/14 12ʱ
31.7,5/14 13ʱ
31.71,5/14 14ʱ
31.6,5/14 15ʱ
31.31,5/14 16ʱ
30.96,5/14 17ʱ
30.65,5/14 18ʱ
30.15,5/14 19ʱ
29.19,5/14 20ʱ
28.08,5/14 21ʱ
27.38,5/14 22ʱ
26.64,5/14 23ʱ
26.22,5/15 0ʱ
25.52,5/15 1ʱ
24.97,5/15 2ʱ
23.96,5/15 3ʱ
23.03,5/15 4ʱ
22.48,5/15 5ʱ
22.01,5/15 6ʱ
21.98,5/15 7ʱ
22.06,5/15 8ʱ
22.32,5/15 9ʱ
22.98,5/15 10ʱ
23.71,5/15 11ʱ
24.63,5/15 12ʱ
25.55,5/15 13ʱ
26.58,5/15 14ʱ
27.38,5/15 15ʱ
27.96,5/15 16ʱ
28.08,5/15 17ʱ
28.06,5/15 18ʱ
28.23,5/15 19ʱ
28.15,5/15 20ʱ
27.96,5/15 21ʱ
27.89,5/15 22ʱ
27.96,5/15 23ʱ
27.95,5/16 0ʱ
28.01,5/16 1ʱ
28.18,5/16 2ʱ
28.05,5/16 3ʱ
27.99,5/16 4ʱ
28.18,5/16 5ʱ
28.4,5/16 6ʱ
29.29,5/16 7ʱ
30.18,5/16 8ʱ
31.04,5/16 9ʱ
31.73,5/16 10ʱ
32.42,5/16 11ʱ
32.91,5/16 12ʱ
33.1,5/16 13ʱ
33.32,5/16 14ʱ
33.62,5/16 15ʱ
33.78,5/16 16ʱ
33.69,5/16 17ʱ
33.62,5/16 18ʱ
33.53,5/16 19ʱ
33.14,5/16 20ʱ
32.53,5/16 21ʱ
32.14,5/16 22ʱ
31.43,5/16 23ʱ
30.86,5/17 0ʱ
30.47,5/17 1ʱ
30.05,5/17 2ʱ
29.78,5/17 3ʱ
29.46,5/17 4ʱ
29.01,5/17 5ʱ
29.2,5/17 6ʱ
29.68,5/17 7ʱ
30.71,5/17 8ʱ
31.76,5/17 9ʱ
32.67,5/17 10ʱ
33.57,5/17 11ʱ
34.3,5/17 12ʱ
34.69,5/17 13ʱ
35.16,5/17 14ʱ
35.44,5/17 15ʱ
35.51,5/17 16ʱ
35.41,5/17 17ʱ
35.14,5/17 18ʱ
34.79,5/17 19ʱ
34.6,5/17 20ʱ
33.89,5/17 21ʱ
33.23,5/17 22ʱ
32.85,5/17 23ʱ
32.3,5/18 0ʱ
31.94,5/18 1ʱ
31.71,5/18 2ʱ
31.44,5/18 3ʱ
31.21,5/18 4ʱ
30.96,5/18 5ʱ
30.95,5/18 6ʱ
31.18,5/18 7ʱ
31.99,5/18 8ʱ
32.69,5/18 9ʱ
33.6,5/18 10ʱ
34.51,5/18 11ʱ
35.19,5/18 12ʱ
35.66,5/18 13ʱ
36.07,5/18 14ʱ
36.23,5/18 15ʱ
36.23,5/18 16ʱ
35.98,5/18 17ʱ
35.71,5/18 18ʱ
35.07,5/18 19ʱ
34.12,5/18 20ʱ
33.71,5/18 21ʱ
33.05,5/18 22ʱ
32.64,5/18 23ʱ
32.14,5/19 0ʱ
31.71,5/19 1ʱ
31.45,5/19 2ʱ
31.05,5/19 3ʱ
30.85,5/19 4ʱ
30.48,5/19 5ʱ
30.2,5/19 6ʱ
29.98,5/19 7ʱ
30.05,5/19 8ʱ
30.31,5/19 9ʱ
30.49,5/19 10ʱ
30.96,5/19 11ʱ
31.21,5/19 12ʱ
31.26,5/19 13ʱ
31.2,5/19 14ʱ
31.12,5/19 15ʱ
30.95,5/19 16ʱ
30.87,5/19 17ʱ
30.69,5/19 18ʱ
30.53,5/19 19ʱ
30.3,5/19 20ʱ
29.93,5/19 21ʱ
29.36,5/19 22ʱ
28.91,5/19 23ʱ
28.61,5/20 0ʱ
28.35,5/20 1ʱ
28.32,5/20 2ʱ
28.46,5/20 3ʱ
28.58,5/20 4ʱ
28.83,5/20 5ʱ
29.01,5/20 6ʱ
29.32,5/20 7ʱ
29.56,5/20 8ʱ
30.01,5/20 9ʱ
30.32,5/20 10ʱ
30.43,5/20 11ʱ
30.56,5/20 12ʱ
30.85,5/20 13ʱ
31.21,5/20 14ʱ
31.43,5/20 15ʱ
31.58,5/20 16ʱ
31.63,5/20 17ʱ
31.62,5/20 18ʱ
31.48,5/20 19ʱ
31.28,5/20 20ʱ
31.05,5/20 21ʱ
30.88,5/20 22ʱ
30.64,5/20 23ʱ
30.49,5/21 0ʱ
30.26,5/21 1ʱ
30.01,5/21 2ʱ
29.86,5/21 3ʱ
29.66,5/21 4ʱ
29.56,5/21 5ʱ
29.51,5/21 6ʱ
29.96,5/21 7ʱ
30.96,5/21 8ʱ
31.98,5/21 9ʱ
32.82,5/21 10ʱ
33.84,5/21 11ʱ
34.78,5/21 12ʱ
35.31,5/21 13ʱ
35.64,5/21 14ʱ
36.01,5/21 15ʱ
36.3,5/21 16ʱ
36.12,5/21 17ʱ
35.89,5/21 18ʱ
35.62,5/21 19ʱ
35.41,5/21 20ʱ
35.01,5/21 21ʱ
34.78,5/21 22ʱ
34.32,5/21 23ʱ
34.1,5/22 0ʱ
33.68,5/22 1ʱ
33.46,5/22 2ʱ
33.26,5/22 3ʱ
33.1,5/22 4ʱ
32.39,5/22 5ʱ
32.32,5/22 6ʱ
32.85,5/22 7ʱ
33.87,5/22 8ʱ
34.73,5/22 9ʱ
35.34,5/22 10ʱ
36.3,5/22 11ʱ
36.92,5/22 12ʱ
37.33,5/22 13ʱ
37.71,5/22 14ʱ
37.82,5/22 15ʱ
37.76,5/22 16ʱ
37.57,5/22 17ʱ
37.1,5/22 18ʱ
36.35,5/22 19ʱ
35.82,5/22 20ʱ
35.6,5/22 21ʱ
35.07,5/22 22ʱ
34.87,5/22 23ʱ
34.53,5/23 0ʱ
34.54,5/23 1ʱ
34.53,5/23 2ʱ
34.6,5/23 3ʱ
34.46,5/23 4ʱ
34.26,5/23 5ʱ
34.09,5/23 6ʱ
34.26,5/23 7ʱ
34.21,5/23 8ʱ
34.57,5/23 9ʱ
35.19,5/23 10ʱ
35.78,5/23 11ʱ
36.23,5/23 12ʱ
36.27,5/23 13ʱ
36.46,5/23 14ʱ
36.76,5/23 15ʱ
36.96,5/23 16ʱ
36.84,5/23 17ʱ
36.48,5/23 18ʱ
36.01,5/23 19ʱ
35.48,5/23 20ʱ
34.6,5/23 21ʱ
33.6,5/23 22ʱ
32.78,5/23 23ʱ
32.14,5/24 0ʱ
31.55,5/24 1ʱ
31.07,5/24 2ʱ
30.81,5/24 3ʱ
30.62,5/24 4ʱ
30.37,5/24 5ʱ
30.38,5/24 6ʱ
30.4,5/24 7ʱ
31.06,5/24 8ʱ
31.68,5/24 9ʱ
32.32,5/24 10ʱ
32.92,5/24 11ʱ
33.26,5/24 12ʱ
33.75,5/24 13ʱ
34.21,5/24 14ʱ
34.53,5/24 15ʱ
34.82,5/24 16ʱ
34.74,5/24 17ʱ
34.62,5/24 18ʱ
34.41,5/24 19ʱ
