value,
34.05,5/24 20ʱ
33.69,5/24 21ʱ
33.1,5/24 22ʱ
32.64,5/24 23ʱ
32.05,5/25 0ʱ
31.64,5/25 1ʱ
31.37,5/25 2ʱ
31.1,5/25 3ʱ
30.8,5/25 4ʱ
30.62,5/25 5ʱ
30.6,5/25 6ʱ
31.28,5/25 7ʱ
32.26,5/25 8ʱ
33.35,5/25 9ʱ
34.35,5/25 10ʱ
35.26,5/25 11ʱ
36.1,5/25 12ʱ
36.59,5/25 13ʱ
37.01,5/25 14ʱ
37.37,5/25 15ʱ
37.37,5/25 16ʱ
37.3,5/25 17ʱ
37.01,5/25 18ʱ
36.87,5/25 19ʱ
36.3,5/25 20ʱ
36.01,5/25 21ʱ
35.48,5/25 22ʱ
35.16,5/25 23ʱ
34.69,5/26 0ʱ
34.57,5/26 1ʱ
34.37,5/26 2ʱ
34.23,5/26 3ʱ
33.46,5/26 4ʱ
33.03,5/26 5ʱ
32.96,5/26 6ʱ
32.98,5/26 7ʱ
33.41,5/26 8ʱ
34.14,5/26 9ʱ
34.6,5/26 10ʱ
35.1,5/26 11ʱ
35.57,5/26 12ʱ
35.95,5/26 13ʱ
36.44,5/26 14ʱ
36.69,5/26 15ʱ
36.69,5/26 16ʱ
36.46,5/26 17ʱ
36.1,5/26 18ʱ
35.42,5/26 19ʱ
34.76,5/26 20ʱ
34.12,5/26 21ʱ
33.35,5/26 22ʱ
32.96,5/26 23ʱ
32.55,5/27 0ʱ
32.31,5/27 1ʱ
32.21,5/27 2ʱ
32.24,5/27 3ʱ
32.28,5/27 4ʱ
32.23,5/27 5ʱ
32.39,5/27 6ʱ
32.89,5/27 7ʱ
33.48,5/27 8ʱ
34.03,5/27 9ʱ
34.79,5/27 10ʱ
35.48,5/27 11ʱ
36.1,5/27 12ʱ
36.66,5/27 13ʱ
37.14,5/27 14ʱ
37.3,5/27 15ʱ
37.39,5/27 16ʱ
37.1,5/27 17ʱ
36.89,5/27 18ʱ
36.91,5/27 19ʱ
36.62,5/27 20ʱ
36.46,5/27 21ʱ
36.14,5/27 22ʱ
35.71,5/27 23ʱ
35.21,5/28 0ʱ
35.05,5/28 1ʱ
34.76,5/28 2ʱ
34.74,5/28 3ʱ
34.41,5/28 4ʱ
34.26,5/28 5ʱ
34.19,5/28 6ʱ
34.16,5/28 7ʱ
34.44,5/28 8ʱ
34.57,5/28 9ʱ
34.6,5/28 10ʱ
34.69,5/28 11ʱ
35.14,5/28 12ʱ
35.35,5/28 13ʱ
35.6,5/28 14ʱ
35.32,5/28 15ʱ
35.23,5/28 16ʱ
34.78,5/28 17ʱ
34.03,5/28 18ʱ
33.3,5/28 19ʱ
32.87,5/28 20ʱ
32.07,5/28 21ʱ
31.52,5/28 22ʱ
31.24,5/28 23ʱ
31.04,5/29 0ʱ
31.22,5/29 1ʱ
31.48,5/29 2ʱ
31.55,5/29 3ʱ
31.78,5/29 4ʱ
32.01,5/29 5ʱ
32.28,5/29 6ʱ
32.55,5/29 7ʱ
32.8,5/29 8ʱ
33.3,5/29 9ʱ
34.1,5/29 10ʱ
34.76,5/29 11ʱ
35.24,5/29 12ʱ
35.91,5/29 13ʱ
36.39,5/29 14ʱ
36.89,5/29 15ʱ
37.35,5/29 16ʱ
37.53,5/29 17ʱ
37.3,5/29 18ʱ
37.14,5/29 19ʱ
36.85,5/29 20ʱ
36.12,5/29 21ʱ
35.69,5/29 22ʱ
35.35,5/29 23ʱ
35.09,5/30 0ʱ
35.01,5/30 1ʱ
35.07,5/30 2ʱ
35.14,5/30 3ʱ
35.21,5/30 4ʱ
35.46,5/30 5ʱ
35.8,5/30 6ʱ
36.17,5/30 7ʱ
36.6,5/30 8ʱ
37.39,5/30 9ʱ
37.96,5/30 10ʱ
37.69,5/30 11ʱ
36.67,5/30 12ʱ
35.98,5/30 13ʱ
35.76,5/30 14ʱ
35.62,5/30 15ʱ
35.21,5/30 16ʱ
35.12,5/30 17ʱ
34.91,5/30 18ʱ
34.66,5/30 19ʱ
34.26,5/30 20ʱ
34.01,5/30 21ʱ
33.66,5/30 22ʱ
33.23,5/30 23ʱ
32.8,5/31 0ʱ
32.37,5/31 1ʱ
32.12,5/31 2ʱ
32.05,5/31 3ʱ
31.91,5/31 4ʱ
31.99,5/31 5ʱ
32.73,5/31 6ʱ
33.67,5/31 7ʱ
34.87,5/31 8ʱ
35.89,5/31 9ʱ
36.78,5/31 10ʱ
37.53,5/31 11ʱ
38.21,5/31 12ʱ
38.76,5/31 13ʱ
39.12,5/31 14ʱ
39.26,5/31 15ʱ
39.1,5/31 16ʱ
38.6,5/31 17ʱ
38.14,5/31 18ʱ
37.73,5/31 19ʱ
37.39,5/31 20ʱ
36.87,5/31 21ʱ
36.55,5/31 22ʱ
36.41,5/31 23ʱ
36.51,6/1 0ʱ
36.62,6/1 1ʱ
36.69,6/1 2ʱ
36.67,6/1 3ʱ
36.62,6/1 4ʱ
36.62,6/1 5ʱ
36.62,6/1 6ʱ
36.54,6/1 7ʱ
36.74,6/1 8ʱ
36.84,6/1 9ʱ
36.82,6/1 10ʱ
36.71,6/1 11ʱ
36.6,6/1 12ʱ
36.39,6/1 13ʱ
36.42,6/1 14ʱ
36.55,6/1 15ʱ
36.6,6/1 16ʱ
36.39,6/1 17ʱ
36.14,6/1 18ʱ
35.66,6/1 19ʱ
35.51,6/1 20ʱ
35.26,6/1 21ʱ
34.94,6/1 22ʱ
34.66,6/1 23ʱ
34.51,6/2 0ʱ
34.36,6/2 1ʱ
33.98,6/2 2ʱ
33.78,6/2 3ʱ
33.57,6/2 4ʱ
33.46,6/2 5ʱ
33.69,6/2 6ʱ
34.03,6/2 7ʱ
34.87,6/2 8ʱ
35.49,6/2 9ʱ
36.26,6/2 10ʱ
37.16,6/2 11ʱ
37.94,6/2 12ʱ
38.52,6/2 13ʱ
39.09,6/2 14ʱ
39.48,6/2 15ʱ
39.82,6/2 16ʱ
39.85,6/2 17ʱ
39.78,6/2 18ʱ
39.44,6/2 19ʱ
39.28,6/2 20ʱ
39.01,6/2 21ʱ
38.78,6/2 22ʱ
38.37,6/2 23ʱ
38.03,6/3 0ʱ
37.51,6/3 1ʱ
36.94,6/3 2ʱ
36.35,6/3 3ʱ
35.87,6/3 4ʱ
35.55,6/3 5ʱ
35.39,6/3 6ʱ
35.55,6/3 7ʱ
36.01,6/3 8ʱ
36.48,6/3 9ʱ
36.91,6/3 10ʱ
37.26,6/3 11ʱ
37.73,6/3 12ʱ
37.98,6/3 13ʱ
37.96,6/3 14ʱ
38.12,6/3 15ʱ
38.32,6/3 16ʱ
38.17,6/3 17ʱ
37.92,6/3 18ʱ
37.85,6/3 19ʱ
37.76,6/3 20ʱ
37.3,6/3 21ʱ
37.05,6/3 22ʱ
36.8,6/3 23ʱ
36.44,6/4 0ʱ
36.12,6/4 1ʱ
35.92,6/4 2ʱ
35.64,6/4 3ʱ
35.41,6/4 4ʱ
35.44,6/4 5ʱ
35.8,6/4 6ʱ
36.28,6/4 7ʱ
36.6,6/4 8ʱ
36.42,6/4 9ʱ
35.96,6/4 10ʱ
36.14,6/4 11ʱ
36.3,6/4 12ʱ
36.46,6/4 13ʱ
36.6,6/4 14ʱ
36.87,6/4 15ʱ
36.84,6/4 16ʱ
36.74,6/4 17ʱ
36.89,6/4 18ʱ
36.71,6/4 19ʱ
36.71,6/4 20ʱ
36.62,6/4 21ʱ
36.64,6/4 22ʱ
36.55,6/4 23ʱ
36.48,6/5 0ʱ
36.46,6/5 1ʱ
36.49,6/5 2ʱ
36.21,6/5 3ʱ
35.84,6/5 4ʱ
35.21,6/5 5ʱ
34.96,6/5 6ʱ
34.12,6/5 7ʱ
34.03,6/5 8ʱ
33.76,6/5 9ʱ
33.78,6/5 10ʱ
34.35,6/5 11ʱ
34.87,6/5 12ʱ
35.41,6/5 13ʱ
35.69,6/5 14ʱ
36.19,6/5 15ʱ
36.55,6/5 16ʱ
36.6,6/5 17ʱ
36.51,6/5 18ʱ
36.37,6/5 19ʱ
36.35,6/5 20ʱ
36.12,6/5 21ʱ
35.8,6/5 22ʱ
35.57,6/5 23ʱ
35.28,6/6 0ʱ
34.8,6/6 1ʱ
34.6,6/6 2ʱ
34.6,6/6 3ʱ
34.26,6/6 4ʱ
34.3,6/6 5ʱ
34.64,6/6 6ʱ
35.24,6/6 7ʱ
36.03,6/6 8ʱ
36.76,6/6 9ʱ
37.64,6/6 10ʱ
38.73,6/6 11ʱ
39.46,6/6 12ʱ
40.05,6/6 13ʱ
40.44,6/6 14ʱ
40.87,6/6 15ʱ
41.1,6/6 16ʱ
41.1,6/6 17ʱ
41.1,6/6 18ʱ
40.94,6/6 19ʱ
40.59,6/6 20ʱ
40.32,6/6 21ʱ
39.94,6/6 22ʱ
39.64,6/6 23ʱ
38.82,6/7 0ʱ
38.05,6/7 1ʱ
37.32,6/7 2ʱ
36.69,6/7 3ʱ
36.1,6/7 4ʱ
35.69,6/7 5ʱ
35.69,6/7 6ʱ
36.01,6/7 7ʱ
36.37,6/7 8ʱ
36.85,6/7 9ʱ
37.1,6/7 10ʱ
37.44,6/7 11ʱ
37.73,6/7 12ʱ
37.78,6/7 13ʱ
37.96,6/7 14ʱ
37.96,6/7 15ʱ
37.87,6/7 16ʱ
37.69,6/7 17ʱ
37.42,6/7 18ʱ
37.07,6/7 19ʱ
36.74,6/7 20ʱ
36.32,6/7 21ʱ
35.73,6/7 22ʱ
35.57,6/7 23ʱ
35.32,6/8 0ʱ
35.01,6/8 1ʱ
34.73,6/8 2ʱ
34.49,6/8 3ʱ
34.28,6/8 4ʱ
34.19,6/8 5ʱ
34.91,6/8 6ʱ
35.82,6/8 7ʱ
36.94,6/8 8ʱ
37.98,6/8 9ʱ
38.91,6/8 10ʱ
39.66,6/8 11ʱ
40.28,6/8 12ʱ
40.76,6/8 13ʱ
41.21,6/8 14ʱ
41.34,6/8 15ʱ
41.26,6/8 16ʱ
41.03,6/8 17ʱ
40.6,6/8 18ʱ
40.14,6/8 19ʱ
39.53,6/8 20ʱ
38.82,6/8 21ʱ
38.17,6/8 22ʱ
37.67,6/8 23ʱ
37.32,6/9 0ʱ
37.01,6/9 1ʱ
36.64,6/9 2ʱ
36.23,6/9 3ʱ
35.89,6/9 4ʱ
35.71,6/9 5ʱ
36.28,6/9 6ʱ
37.23,6/9 7ʱ
38.3,6/9 8ʱ
39.21,6/9 9ʱ
40.05,6/9 10ʱ
40.94,6/9 11ʱ
41.55,6/9 12ʱ
41.92,6/9 13ʱ
42.21,6/9 14ʱ
42.42,6/9 15ʱ
42.57,6/9 16ʱ
42.41,6/9 17ʱ
42.12,6/9 18ʱ
41.69,6/9 19ʱ
41.07,6/9 20ʱ
40.44,6/9 21ʱ
39.53,6/9 22ʱ
38.73,6/9 23ʱ
38.3,6/10 0ʱ
37.98,6/10 1ʱ
37.73,6/10 2ʱ
37.41,6/10 3ʱ
37.3,6/10 4ʱ
37.46,6/10 5ʱ
37.78,6/10 6ʱ
38.21,6/10 7ʱ
39.07,6/10 8ʱ
39.76,6/10 9ʱ
40.23,6/10 10ʱ
40.41,6/10 11ʱ
40.57,6/10 12ʱ
40.41,6/10 13ʱ
40.1,6/10 14ʱ
39.6,6/10 15ʱ
39.01,6/10 16ʱ
38.21,6/10 17ʱ
37.37,6/10 18ʱ
36.55,6/10 19ʱ
35.8,6/10 20ʱ
35.16,6/10 21ʱ
34.64,6/10 22ʱ
34.26,6/10 23ʱ
33.98,6/11 0ʱ
33.82,6/11 1ʱ
33.64,6/11 2ʱ
33.3,6/11 3ʱ
33.16,6/11 4ʱ
33.53,6/11 5ʱ
34.23,6/11 6ʱ
35.05,6/11 7ʱ
35.76,6/11 8ʱ
36.39,6/11 9ʱ
36.98,6/11 10ʱ
37.57,6/11 11ʱ
38.01,6/11 12ʱ
38.3,6/11 13ʱ
38.64,6/11 14ʱ
38.91,6/11 15ʱ
39.01,6/11 16ʱ
38.85,6/11 17ʱ
38.66,6/11 18ʱ
38.26,6/11 19ʱ
37.69,6/11 20ʱ
37.05,6/11 21ʱ
36.3,6/11 22ʱ
35.8,6/11 23ʱ
35.46,6/12 0ʱ
35.19,6/12 1ʱ
35.09,6/12 2ʱ
34.85,6/12 3ʱ
34.69,6/12 4ʱ
34.41,6/12 5ʱ
34.37,6/12 6ʱ
34.28,6/12 7ʱ
34.1,6/12 8ʱ
34.26,6/12 9ʱ
34.26,6/12 10ʱ
34.16,6/12 11ʱ
34.21,6/12 12ʱ
34.39,6/12 13ʱ
34.51,6/12 14ʱ
34.46,6/12 15ʱ
34.32,6/12 16ʱ
34.1,6/12 17ʱ
33.71,6/12 18ʱ
33.21,6/12 19ʱ
32.69,6/12 20ʱ
32.37,6/12 21ʱ
31.91,6/12 22ʱ
31.68,6/12 23ʱ
31.56,6/13 0ʱ
31.61,6/13 1ʱ
31.81,6/13 2ʱ
31.89,6/13 3ʱ
31.88,6/13 4ʱ
31.83,6/13 5ʱ
31.69,6/13 6ʱ
31.66,6/13 7ʱ
31.88,6/13 8ʱ
32.39,6/13 9ʱ
32.91,6/13 10ʱ
33.39,6/13 11ʱ
33.91,6/13 12ʱ
34.3,6/13 13ʱ
34.73,6/13 14ʱ
35.12,6/13 15ʱ
35.44,6/13 16ʱ
35.59,6/13 17ʱ
35.64,6/13 18ʱ
35.66,6/13 19ʱ
35.78,6/13 20ʱ
35.55,6/13 21ʱ
35.51,6/13 22ʱ
35.62,6/13 23ʱ
35.32,6/14 0ʱ
35.53,6/14 1ʱ
35.48,6/14 2ʱ
35.32,6/14 3ʱ
35.03,6/14 4ʱ
34.73,6/14 5ʱ
35.3,6/14 6ʱ
35.96,6/14 7ʱ
36.55,6/14 8ʱ
37.14,6/14 9ʱ
37.82,6/14 10ʱ
38.66,6/14 11ʱ
39.28,6/14 12ʱ
39.73,6/14 13ʱ
40.03,6/14 14ʱ
40.19,6/14 15ʱ
40.03,6/14 16ʱ
39.91,6/14 17ʱ
39.62,6/14 18ʱ
39.21,6/14 19ʱ
38.66,6/14 20ʱ
38.24,6/14 21ʱ
37.89,6/14 22ʱ
37.69,6/14 23ʱ
37.46,6/15 0ʱ
37.41,6/15 1ʱ
37.3,6/15 2ʱ
37.19,6/15 3ʱ
37.1,6/15 4ʱ
37.03,6/15 5ʱ
37.48,6/15 6ʱ
38.28,6/15 7ʱ
39.39,6/15 8ʱ
40.12,6/15 9ʱ
40.73,6/15 10ʱ
41.41,6/15 11ʱ
42.01,6/15 12ʱ
42.49,6/15 13ʱ
42.84,6/15 14ʱ
43.01,6/15 15ʱ
43.21,6/15 16ʱ
43.39,6/15 17ʱ
43.1,6/15 18ʱ
42.55,6/15 19ʱ
41.98,6/15 20ʱ
41.23,6/15 21ʱ
40.6,6/15 22ʱ
40.09,6/15 23ʱ
40.07,6/16 0ʱ
39.84,6/16 1ʱ
39.41,6/16 2ʱ
38.96,6/16 3ʱ
38.6,6/16 4ʱ
38.46,6/16 5ʱ
38.91,6/16 6ʱ
39.89,6/16 7ʱ
41.03,6/16 8ʱ
42.01,6/16 9ʱ
42.76,6/16 10ʱ
43.55,6/16 11ʱ
44.34,6/16 12ʱ
44.74,6/16 13ʱ
45.09,6/16 14ʱ
45.24,6/16 15ʱ
45.24,6/16 16ʱ
45.01,6/16 17ʱ
44.23,6/16 18ʱ
43.35,6/16 19ʱ
42.91,6/16 20ʱ
42.03,6/16 21ʱ
41.49,6/16 22ʱ
41.05,6/16 23ʱ
40.62,6/17 0ʱ
40.24,6/17 1ʱ
39.62,6/17 2ʱ
39.39,6/17 3ʱ
38.96,6/17 4ʱ
38.78,6/17 5ʱ
38.98,6/17 6ʱ
39.84,6/17 7ʱ
40.74,6/17 8ʱ
41.66,6/17 9ʱ
42.44,6/17 10ʱ
43.12,6/17 11ʱ
43.64,6/17 12ʱ
44.1,6/17 13ʱ
44.26,6/17 14ʱ
44.41,6/17 15ʱ
44.55,6/17 16ʱ
44.59,6/17 17ʱ
44.12,6/17 18ʱ
43.57,6/17 19ʱ
43.1,6/17 20ʱ
42.46,6/17 21ʱ
41.85,6/17 22ʱ
41.07,6/17 23ʱ
40.44,6/18 0ʱ
39.84,6/18 1ʱ
39.23,6/18 2ʱ
38.73,6/18 3ʱ
38.34,6/18 4ʱ
38.23,6/18 5ʱ
38.74,6/18 6ʱ
39.46,6/18 7ʱ
40.28,6/18 8ʱ
41.17,6/18 9ʱ
42.01,6/18 10ʱ
42.82,6/18 11ʱ
43.26,6/18 12ʱ
43.73,6/18 13ʱ
44.07,6/18 14ʱ
44.3,6/18 15ʱ
44.3,6/18 16ʱ
44.26,6/18 17ʱ
44.01,6/18 18ʱ
43.66,6/18 19ʱ
42.85,6/18 20ʱ
42.3,6/18 21ʱ
41.67,6/18 22ʱ
41.12,6/18 23ʱ
40.55,6/19 0ʱ
40.3,6/19 1ʱ
39.96,6/19 2ʱ
39.6,6/19 3ʱ
39.14,6/19 4ʱ
39.07,6/19 5ʱ
38.87,6/19 6ʱ
39.26,6/19 7ʱ
39.8,6/19 8ʱ
40.46,6/19 9ʱ
41.07,6/19 10ʱ
41.78,6/19 11ʱ
42.41,6/19 12ʱ
42.85,6/19 13ʱ
43.09,6/19 14ʱ
42.92,6/19 15ʱ
42.53,6/19 16ʱ
42.14,6/19 17ʱ
41.66,6/19 18ʱ
41.21,6/19 19ʱ
40.6,6/19 20ʱ
39.89,6/19 21ʱ
39.16,6/19 22ʱ
38.66,6/19 23ʱ
38.19,6/20 0ʱ
37.94,6/20 1ʱ
37.6,6/20 2ʱ
37.64,6/20 3ʱ
37.82,6/20 4ʱ
38.03,6/20 5ʱ
38.55,6/20 6ʱ
39.09,6/20 7ʱ
39.64,6/20 8ʱ
40.19,6/20 9ʱ
40.64,6/20 10ʱ
40.82,6/20 11ʱ
41.14,6/20 12ʱ
41.39,6/20 13ʱ
41.69,6/20 14ʱ
41.89,6/20 15ʱ
41.96,6/20 16ʱ
41.92,6/20 17ʱ
41.73,6/20 18ʱ
41.49,6/20 19ʱ
41.05,6/20 20ʱ
